Description,Related Sensor
Weather station,Atmos Weather Station
WiFi probe counter,NCount WiFi Counter
Object detection camera,Object Detection Camera
Passive infrared bi-directional counters (3x),Bi-directional PIR Counters
Passive infrared counters (3x),Farmo PIR Counters
Soil moisture sensor (measuring soil moisture and temperature),SMT100a Soil Moisture Sensor
Environment monitoring systems (EMS) - measuring ambient temperature and humidity (2x),R712 Environmental Monitoring
Temperature probes (6x) - utilised to determine usage of BBQ facilities,R718b140 Temperature Sensor
